year,state,farm_number,farm_ha,sales
2007,Alabama,31,438,NA
2007,Alaska,16,179,472
2007,Arizona,60,"8,501","42,077"
2007,Arkansas,34,"2,553","12,848"
2007,California,"2,691","190,649","1,148,650"
2007,Colorado,220,"62,340","70,231"
2007,Connecticut,82,454,"5,163"
2007,Delaware,8,105,NA
2007,Florida,172,"3,271","43,400"
2007,Georgia,100,"1,836","5,846"
2007,Hawaii,330,"4,273","10,078"
2007,Idaho,254,"60,091","71,250"
2007,Illinois,226,"12,414","23,571"
2007,Indiana,142,"5,271","13,877"
2007,Iowa,513,"38,287","71,545"
2007,Kansas,108,"21,514","14,466"
2007,Kentucky,101,"2,740","2,445"
2007,Louisiana,23,871,"2,081"
2007,Maine,376,"11,443","30,675"
2007,Maryland,128,"3,705","10,403"
2007,Massachusetts,169,"1,783","15,082"
2007,Michigan,446,"27,598","71,111"
2007,Minnesota,543,"49,566","69,053"
2007,Mississippi,31,546,NA
2007,Missouri,191,"12,225","9,324"
2007,Montana,173,"115,175","25,383"
2007,Nebraska,162,"59,185","48,636"
2007,Nevada,26,"1,681","2,801"
2007,New Hampshire,99,"3,420","10,721"
2007,New Jersey,122,"1,348","2,602"
2007,New Mexico,199,"47,642","33,465"
2007,New York,819,"68,189","105,133"
2007,North Carolina,219,"3,894","52,796"
2007,North Dakota,127,"61,833","19,671"
2007,Ohio,535,"25,100","42,765"
2007,Oklahoma,88,"11,980","5,604"
2007,Oregon,657,"42,755","155,613"
2007,Pennsylvania,556,"21,710","212,739"
2007,Rhode Island,28,83,"1,117"
2007,South Carolina,34,415,"1,714"
2007,South Dakota,103,"53,460","15,148"
2007,Tennessee,83,810,"1,226"
2007,Texas,355,"127,238","149,328"
2007,Utah,93,"58,392","12,757"
2007,Vermont,463,"31,380","72,857"
2007,Virginia,169,"4,983","19,191"
2007,Washington,886,"33,286","281,970"
2007,West Virginia,53,791,409
2007,Wisconsin,"1,202","79,191","132,764"
2007,Wyoming,61,"274,149","13,523"
2012,Alabama,28,626,"1,396"
2012,Alaska,17,152,929
2012,Arizona,61,"7,211","93,465"
2012,Arkansas,34,328,NA
2012,California,"2,805","278,206","2,231,241"
2012,Colorado,157,"46,606","146,799"
2012,Connecticut,122,"1,045","3,682"
2012,Delaware,10,104,253
2012,Florida,166,"7,840","57,182"
2012,Georgia,117,"3,637","12,456"
2012,Hawaii,166,"1,419","13,356"
2012,Idaho,161,"50,664","65,696"
2012,Illinois,249,"16,621","52,723"
2012,Indiana,282,"10,647","59,845"
2012,Iowa,602,"39,453","102,626"
2012,Kansas,83,"17,052","17,215"
2012,Kentucky,107,"2,910","7,757"
2012,Louisiana,23,"1,742","5,521"
2012,Maine,517,"23,661","54,178"
2012,Maryland,120,"5,672","18,973"
2012,Massachusetts,179,"3,256","24,775"
2012,Michigan,329,"23,516","124,612"
2012,Minnesota,509,"53,860","92,242"
2012,Mississippi,8,"1,134","6,000"
2012,Missouri,214,"20,009","43,274"
2012,Montana,147,"128,715","43,657"
2012,Nebraska,170,"44,755","75,917"
2012,Nevada,49,"2,860","20,414"
2012,New Hampshire,150,"3,255","20,849"
2012,New Jersey,87,"1,077","7,786"
2012,New Mexico,116,"13,940","21,860"
2012,New York,917,"86,114","164,203"
2012,North Carolina,264,"8,985","66,941"
