state,farm_kha_2008,farm_kha_2011,farm_kha_2014,farm_kha_2015,farm_kha_2016,farm_kha_2019,farm_knumber_2008,farm_knumber_2011,farm_knumber_2014,farm_knumber_2015,farm_knumber_2016,farm_knumber_2019,farm_msales_2008,farm_msales_2011,farm_msales_2014,farm_msales_2015,farm_msales_2016,farm_msales_2019
Alabama,0.14771085026041017,NA,0.5260934392836527,0.5604918564675839,0.8150401436286743,0.8789807308646875,0.004,0.003,0.015,0.022,0.018,0.011,NA,NA,1.4663000000000002,1.7754000000000003,2.0873500000000003,NA
Alaska,0.13071398529893832,NA,0.1141218075984539,281.33291821680416,NA,NA,0.006,0.004,0.007,0.004,0.008,0.008,0.57574606,0.69811326,NA,NA,NA,NA
Arizona,8.322798209467386,5.979254281089207,7.207480118186043,9.33451636193595,13.42873738134573,10.804340493842277,0.038,0.029,0.061,0.048,0.038,0.062,51.33352276,90.1986345,102.81150000000001,141.6481,128.39110000000002,206.55612
Arkansas,2.5337469410422693,1.1464790103773754,0.12140617829622755,0.8154448308896617,1.971231648269748,8.502074666084816,0.025,0.01,0.026,0.032,0.064,0.067,15.67474666,NA,NA,17.9003,43.34712,56.43762
California,186.79028499218288,236.0285840365229,277.55394857370356,319.8700720188537,432.9951348934956,390.6272114789391,2.286,1.884,2.632,2.635,2.713,3.012,1401.35338186,1624.9509923399999,2453.6963,2679.1534,3149.18004,3668.86146
Colorado,60.28788001834068,31.45593610929157,46.437863198307035,61.33885283512502,71.4256828152366,67.78511621539371,0.163,0.117,0.134,0.133,0.181,0.238,85.68166628,82.14894675,161.4063,170.7266,197.61373,187.80138
Connecticut,0.19303582349100182,0.12019211651326528,0.9077135263947947,1.02628689386411,0.684326158329736,0.7284370697773653,0.037,0.035,0.078,0.059,0.057,0.063,6.2988295,1.35237024,3.9446000000000003,5.1447,7.567870000000001,6.27504
Delaware,0.09672025537599463,0.12828586173301376,0.08377026302439701,NA,NA,0.2148889355843228,0.004,0.004,0.006,0.003,0.002,0.012,NA,0.62865036,0.2717,NA,NA,13.83528
Florida,3.0161341561392803,5.894269956281848,7.788206337702998,5.162595388416583,4.726342521072139,7.24875821880676,0.099,0.091,0.146,0.159,0.123,0.126,52.9485368,115.37094699,62.813300000000005,69.1141,78.86259,88.18716
Georgia,1.5005803637413726,0.6612589844534528,3.3313855324484845,1.279216431981251,2.163862784499763,2.8813732982304674,0.058,0.039,0.086,0.093,0.083,0.102,7.13184306,14.70049659,13.522300000000001,21.9604,52.57397000000001,53.25624
Hawaii,3.9716007793305907,1.0930602919270354,1.3650101313105851,0.666115231585302,2.8987748504529267,1.1290774581549163,0.18,0.103,0.121,0.119,0.113,0.129,12.294819619999998,8.74623321,14.546400000000002,13.833600000000002,14.614720000000002,17.62866
Idaho,59.95320365350408,52.80197506459529,50.590359183299014,67.65642566639973,72.26379013274156,73.13993805277933,0.219,0.142,0.151,0.168,0.166,0.24,86.92447539999999,62.30167047,72.2469,93.51540000000001,106.82545000000002,210.08736
Illinois,12.094078794609203,11.64001968778131,16.38214501203196,14.954003668007335,15.844720329440658,24.55966049480486,0.162,0.135,0.215,0.196,0.205,0.258,28.756746879999998,32.6075841,57.86000000000001,58.68500000000001,56.79554000000001,74.15604
Indiana,5.090561055960821,6.233397880989311,10.26651112398999,14.106588543499667,17.49017873261553,NA,0.108,0.156,0.251,0.332,0.42,0.595,16.9294337,35.5562415,65.6315,65.39500000000001,108.04516000000001,184.57002
Iowa,37.822880786406735,33.03623986344747,39.3299361463239,37.92202916534865,41.737825349199085,54.103044608669855,0.476,0.466,0.583,0.672,0.732,0.779,87.28531602,71.02287503999999,112.78190000000002,132.59840000000003,142.99492,147.48792
Kansas,21.386912368663445,22.823956832429793,17.019932135348142,21.124270336282606,21.937287043606347,34.66551077618284,0.087,0.064,0.077,0.08,0.086,0.11,17.648526099999998,NA,18.9189,19.58,54.521800000000006,70.42896
Kentucky,2.176003402329385,1.4196429115438876,2.8315967651290137,3.0339403956227264,4.150067861426045,7.8909969019938035,0.052,0.043,0.086,0.086,0.1,0.185,2.98300126,4.11728733,8.4381,10.3092,13.277290000000002,39.22818
Louisiana,0.8506526225955677,0.8255620124143473,1.6203677929936504,1.098321226319872,2.195833078117769,1.352464826219975,0.016,0.015,0.014,0.007,0.021,0.01,2.53854916,3.2562960299999997,NA,5.6672,12.1208,14.61966
Maine,10.657843705364831,10.449834453217294,22.65763036816396,19.628141532412098,22.385680528780412,22.363422729426105,0.276,0.221,0.444,0.475,0.494,0.456,37.42293514,28.550516669999997,59.296600000000005,52.60640000000001,71.55632,65.0964
Maryland,3.5470838425547817,3.318435540096887,5.656718534082229,4.225744379230694,5.038356399293443,6.959002139939764,0.095,0.072,0.11,0.088,0.111,0.12,12.69207236,10.54672983,20.8197,15.272400000000001,19.27011,51.0816
Massachusetts,1.4892491204337248,1.036404075388796,2.801245220554957,2.3743001602132234,2.9307451440709333,3.3062949222672637,0.08,0.077,0.131,0.13,0.127,0.133,18.400358419999996,12.58739001,27.054500000000004,33.533500000000004,28.476250000000004,33.5529
Michigan,26.81983884741963,25.802050386036257,23.26749407047201,22.63253975798274,30.8339317891539,49.47423171749569,0.309,0.219,0.285,0.298,0.402,0.541,86.75519552,116.07078014999999,136.9709,205.60980000000004,219.16303000000002,235.5741
Minnesota,48.57825412166953,50.44183895851662,53.1107514447287,46.66893962433086,52.88776876392462,69.99794615847296,0.462,0.434,0.472,0.431,0.545,0.635,84.2446966,80.94197825999998,101.29680000000002,101.19230000000002,116.06211000000002,115.87812
Mississippi,NA,NA,1.1339337052867655,1.2318680224457224,9.475347528759574,3.5964556883952477,0.01,0.013,0.008,0.012,0.029,0.029,NA,NA,6.6000000000000005,8.104800000000001,17.85529,30.11754
Missouri,11.11190281219272,8.9949837499675,19.679941501818487,12.820897115342618,16.62374330684145,20.708251831987535,0.115,0.096,0.182,0.176,0.302,0.355,11.374810299999998,46.80493272,47.49690000000001,101.78080000000001,110.41482000000002,116.1576
Montana,114.94372742551936,81.97021408752495,128.64117714816075,101.38670418244062,107.6662364111825,143.95656654022986,0.133,0.099,0.138,0.138,0.156,0.208,30.96680982,34.30149957,47.96330000000001,53.80980000000001,57.97383000000001,66.77634
Nebraska,59.073413548117415,56.00264661174484,44.574278361459946,48.88541175275899,43.45167589948083,93.81986177649775,0.146,0.127,0.166,0.161,0.162,0.238,59.33630064,NA,83.4977,79.222,104.60839000000001,188.32668
Nevada,1.6272474764304368,2.691574972827365,2.85587800078826,4.970773626708544,4.938398645829549,39.605932858317324,0.02,0.028,0.045,0.031,0.034,0.04,3.4170797,2.3807288699999996,NA,20.6316,31.709190000000003,68.13906
New Hampshire,3.3224824127067607,2.0125097488904653,2.955431066991166,3.756307156485281,3.180032496839187,4.7380784516407735,0.079,0.074,0.112,0.101,0.107,0.08,13.07979812,19.68752448,22.8085,20.6195,9.8645,11.49948
New Jersey,1.0914415428830857,0.6649011698023396,0.9465635034495875,0.9506103760594619,0.6155293239618738,1.593253746507493,0.062,0.044,0.06,0.075,0.053,0.068,3.17397152,7.458978149999999,8.3963,12.401400000000002,9.62579,26.77092
New Mexico,47.33829235400407,59.99367237960282,13.926098025099277,20.897240782868664,38.09847281113917,15.801014105254017,0.139,0.064,0.105,0.088,0.075,0.101,40.82746469999999,25.957322819999998,24.017400000000002,35.3573,49.02711,72.18744
