state,year,metric,value
Alabama,2008,farm_kha,0.14771085026041
Alabama,2008,farm_knumber,0.004
Alabama,2008,farm_msales,0.614
Alaska,2008,farm_kha,0.130713985298938
Alaska,2008,farm_knumber,0.006
Alaska,2008,farm_msales,0.57574606
Arizona,2008,farm_kha,8.32279820946739
Arizona,2008,farm_knumber,0.038
Arizona,2008,farm_msales,51.33352276
Arkansas,2008,farm_kha,2.53374694104227
Arkansas,2008,farm_knumber,0.025
Arkansas,2008,farm_msales,15.67474666
California,2008,farm_kha,186.790284992183
California,2008,farm_knumber,2.286
California,2008,farm_msales,1401.35338186
Colorado,2008,farm_kha,60.2878800183407
Colorado,2008,farm_knumber,0.163
Colorado,2008,farm_msales,85.68166628
Connecticut,2008,farm_kha,0.193035823491002
Connecticut,2008,farm_knumber,0.037
Connecticut,2008,farm_msales,6.2988295
Delaware,2008,farm_kha,0.0967202553759946
Delaware,2008,farm_knumber,0.004
Delaware,2008,farm_msales,0.218
Florida,2008,farm_kha,3.01613415613928
Florida,2008,farm_knumber,0.099
Florida,2008,farm_msales,52.9485368
Georgia,2008,farm_kha,1.50058036374137
Georgia,2008,farm_knumber,0.058
Georgia,2008,farm_msales,7.13184306
Hawaii,2008,farm_kha,3.97160077933059
Hawaii,2008,farm_knumber,0.18
Hawaii,2008,farm_msales,12.29481962
Idaho,2008,farm_kha,59.9532036535041
Idaho,2008,farm_knumber,0.219
Idaho,2008,farm_msales,86.9244754
Illinois,2008,farm_kha,12.0940787946092
Illinois,2008,farm_knumber,0.162
Illinois,2008,farm_msales,28.75674688
Indiana,2008,farm_kha,5.09056105596082
Indiana,2008,farm_knumber,0.108
Indiana,2008,farm_msales,16.9294337
Iowa,2008,farm_kha,37.8228807864067
Iowa,2008,farm_knumber,0.476
Iowa,2008,farm_msales,87.28531602
Kansas,2008,farm_kha,21.3869123686634
Kansas,2008,farm_knumber,0.087
Kansas,2008,farm_msales,17.6485261
Kentucky,2008,farm_kha,2.17600340232939
Kentucky,2008,farm_knumber,0.052
Kentucky,2008,farm_msales,2.98300126
Louisiana,2008,farm_kha,0.850652622595568
Louisiana,2008,farm_knumber,0.016
Louisiana,2008,farm_msales,2.53854916
Maine,2008,farm_kha,10.6578437053648
Maine,2008,farm_knumber,0.276
Maine,2008,farm_msales,37.42293514
Maryland,2008,farm_kha,3.54708384255478
Maryland,2008,farm_knumber,0.095
Maryland,2008,farm_msales,12.69207236
Massachusetts,2008,farm_kha,1.48924912043372
Massachusetts,2008,farm_knumber,0.08
Massachusetts,2008,farm_msales,18.40035842
Michigan,2008,farm_kha,26.8198388474196
Michigan,2008,farm_knumber,0.309
Michigan,2008,farm_msales,86.75519552
Minnesota,2008,farm_kha,48.5782541216695
Minnesota,2008,farm_knumber,0.462
Minnesota,2008,farm_msales,84.2446966
Mississippi,2008,farm_kha,1.566
Mississippi,2008,farm_knumber,0.01
Mississippi,2008,farm_msales,4.741
Missouri,2008,farm_kha,11.1119028121927
Missouri,2008,farm_knumber,0.115
Missouri,2008,farm_msales,11.3748103
Montana,2008,farm_kha,114.943727425519
Montana,2008,farm_knumber,0.133
Montana,2008,farm_msales,30.96680982
Nebraska,2008,farm_kha,59.0734135481174
Nebraska,2008,farm_knumber,0.146
Nebraska,2008,farm_msales,59.33630064
Nevada,2008,farm_kha,1.62724747643044
Nevada,2008,farm_knumber,0.02
Nevada,2008,farm_msales,3.4170797
New Hampshire,2008,farm_kha,3.32248241270676
New Hampshire,2008,farm_knumber,0.079
New Hampshire,2008,farm_msales,13.07979812
New Jersey,2008,farm_kha,1.09144154288309
New Jersey,2008,farm_knumber,0.062
New Jersey,2008,farm_msales,3.17397152
New Mexico,2008,farm_kha,47.3382923540041
New Mexico,2008,farm_knumber,0.139
New Mexico,2008,farm_msales,40.8274647
New York,2008,farm_kha,66.4824279222752
New York,2008,farm_knumber,0.684
New York,2008,farm_msales,128.26262966
North Carolina,2008,farm_kha,3.48516669162371
North Carolina,2008,farm_knumber,0.134
North Carolina,2008,farm_msales,64.41054294
North Dakota,2008,farm_kha,61.8050525597825
North Dakota,2008,farm_knumber,0.124
North Dakota,2008,farm_msales,23.999047
Ohio,2008,farm_kha,24.1598294809493
Ohio,2008,farm_knumber,0.42
Ohio,2008,farm_msales,52.17338784
Oklahoma,2008,farm_kha,11.134969986069
Oklahoma,2008,farm_knumber,0.058
Oklahoma,2008,farm_msales,6.837307
Oregon,2008,farm_kha,40.5310479369346
Oregon,2008,farm_knumber,0.433
Oregon,2008,farm_msales,189.84772336
Pennsylvania,2008,farm_kha,20.9348766981405
Pennsylvania,2008,farm_knumber,0.466
Pennsylvania,2008,farm_msales,259.5420009
Rhode Island,2008,farm_kha,0.04
Rhode Island,2008,farm_knumber,0.022
Rhode Island,2008,farm_msales,1.36242402
South Carolina,2008,farm_kha,0.227029553413946
South Carolina,2008,farm_knumber,0.016
South Carolina,2008,farm_msales,2.09136914
South Dakota,2008,farm_kha,53.3879622185051
