state,slope_farm_kha,slope_farm_knumber,slope_farm_msales,significant_farm_kha,significant_farm_knumber,significant_farm_msales
Alabama,0.127,0.106,0.113,TRUE,TRUE,FALSE
Alaska,0.041,0.042,0.144,FALSE,FALSE,TRUE
Arizona,0.051,0.05,0.119,FALSE,TRUE,TRUE
Arkansas,0.057,0.102,0.116,FALSE,TRUE,TRUE
California,0.074,0.039,0.102,FALSE,FALSE,TRUE
Colorado,0.049,0.045,0.103,FALSE,FALSE,TRUE
Connecticut,0.138,0.053,0.066,TRUE,TRUE,FALSE
Delaware,0.017,0.042,0.244,FALSE,FALSE,TRUE
Florida,0.07,0.046,0.055,FALSE,FALSE,FALSE
Georgia,0.066,0.058,0.159,FALSE,TRUE,TRUE
Hawaii,-0.01,0.016,0.092,FALSE,FALSE,TRUE
Idaho,0.047,0.028,0.101,FALSE,FALSE,TRUE
Illinois,0.064,0.051,0.1,FALSE,TRUE,TRUE
Indiana,0.086,0.112,0.157,FALSE,TRUE,TRUE
Iowa,0.047,0.057,0.083,FALSE,TRUE,TRUE
Kansas,0.043,0.035,0.131,FALSE,FALSE,TRUE
Kentucky,0.081,0.085,0.175,TRUE,TRUE,TRUE
Louisiana,0.073,-0.01,0.167,FALSE,FALSE,TRUE
Maine,0.076,0.064,0.081,TRUE,TRUE,TRUE
Maryland,0.065,0.037,0.121,FALSE,FALSE,TRUE
Massachusetts,0.086,0.055,0.086,TRUE,TRUE,TRUE
Michigan,0.05,0.057,0.104,FALSE,TRUE,TRUE
Minnesota,0.049,0.043,0.069,FALSE,FALSE,FALSE
Mississippi,0.067,0.076,0.133,FALSE,TRUE,TRUE
Missouri,0.043,0.09,0.167,FALSE,TRUE,TRUE
Montana,0.041,0.053,0.093,FALSE,TRUE,TRUE
Nebraska,0.038,0.05,0.109,FALSE,TRUE,TRUE
Nevada,0.163,0.029,0.231,TRUE,FALSE,TRUE
New Hampshire,0.068,0.039,0.028,FALSE,FALSE,FALSE
New Jersey,0.039,0.027,0.161,FALSE,FALSE,TRUE
New Mexico,-0.031,0.02,0.103,FALSE,FALSE,TRUE
New York,0.063,0.064,0.093,FALSE,TRUE,TRUE
North Carolina,0.106,0.075,0.144,TRUE,TRUE,TRUE
North Dakota,0.025,0.026,0.06,FALSE,FALSE,FALSE
Ohio,0.061,0.062,0.089,FALSE,TRUE,TRUE
Oklahoma,0.01,0.001,0.101,FALSE,FALSE,TRUE
Oregon,0.073,0.027,0.094,FALSE,FALSE,TRUE
Pennsylvania,0.061,0.063,0.121,FALSE,TRUE,TRUE
Rhode Island,0.044,0.025,0.107,FALSE,FALSE,TRUE
South Carolina,0.139,0.07,0.168,TRUE,TRUE,TRUE
South Dakota,0.017,0.021,0.056,FALSE,FALSE,FALSE
Tennessee,0.095,0.06,0.143,TRUE,TRUE,TRUE
Texas,0.023,0.042,0.101,FALSE,FALSE,TRUE
Utah,0.018,0.031,0.102,FALSE,FALSE,TRUE
Vermont,0.084,0.051,0.079,TRUE,TRUE,TRUE
Virginia,0.081,0.07,0.101,TRUE,TRUE,TRUE
Washington,0.044,0.029,0.113,FALSE,FALSE,TRUE
West Virginia,0.19,0.092,0.231,TRUE,TRUE,TRUE
Wisconsin,0.047,0.048,0.083,FALSE,TRUE,TRUE
Wyoming,-0.09,0.061,0.058,TRUE,TRUE,FALSE
