state,year,farm_ha
California,1997,41627.12551
Alaska,1997,70522.26721
Wyoming,1997,30.36437247
Montana,1997,32434.0081
New York,1997,10412.14575
Texas,1997,12502.02429
Wisconsin,1997,19280.16194
Colorado,1997,104806.8826
Nebraska,1997,11825.10121
Oregon,1997,6876.11336
Vermont,1997,8561.133603
Idaho,1997,45113.36032
Minnesota,1997,25783.40081
North Dakota,1997,36757.08502
Utah,1997,8184.210526
Iowa,1997,14481.37652
South Dakota,1997,13084.61538
Michigan,1997,6786.234818
New Mexico,1997,10710.52632
Washington,1997,4639.271255
Ohio,1997,4864.37247
Pennsylvania,1997,2636.032389
Nevada,1997,103.2388664
Kansas,1997,9843.724696
North Carolina,1997,396.7611336
Illinois,1997,4331.578947
Maine,1997,2737.246964
Missouri,1997,3360.323887
Florida,1997,13257.08502
Arizona,1997,3919.433198
Indiana,1997,807.2874494
Oklahoma,1997,1616.194332
Virginia,1997,1787.854251
Arkansas,1997,403.6437247
Kentucky,1997,2293.927126
Maryland,1997,665.9919028
Hawaii,1997,240.8906883
New Hampshire,1997,107.2874494
South Carolina,1997,16.59919028
Georgia,1997,231.5789474
Mississippi,1997,NA
Massachusetts,1997,459.1093117
Alabama,1997,0.4048583
Tennessee,1997,546.9635628
Louisiana,1997,150.2024291
New Jersey,1997,540.0809717
West Virginia,1997,296.7611336
Connecticut,1997,431.5789474
Delaware,1997,66.80161943
Rhode Island,1997,53.44129555
