state,year,farm_number,
Alabama ,2014,7,
Alaska,2014,23,
Arizona ,2014,51,
Arkansas,2014,31,
California ,2014,2318,
Colorado,2014,168,
Connecticut,2014,44,
Delaware,2014,1,
Florida ,2014,152,
Georgia ,2014,49,
Hawaii,2014,97,
Idaho,2014,160,
Illinois,2014,199,
Indiana ,2014,288,
Iowa ,2014,696,
Kansas,2014,86,
Kentucky,2014,NA,
Louisiana,2014,10,
Maine,2014,466,
Maryland,2014,76,
Massachusetts ,2014,139,
Michigan,2014,414,
Minnesota,2014,584,
Mississippi,2014,11,
Missouri,2014,229,
Montana ,2014,164,
Nebraska,2014,165,
Nevada,2014,31,
New Hampshire ,2014,153,
New Jersey ,2014,68,
New Mexico ,2014,99,
New York,2014,750,
North Carolina,2014,101,
North Dakota,2014,119,
Ohio ,2014,552,
Oklahoma,2014,37,
Oregon,2014,513,
Pennsylvania,2014,753,
Rhode Island,2014,15,
South Carolina,2014,27,
South Dakota,2014,87,
Tennessee,2014,14,
Texas,2014,333,
Utah ,2014,37,
Vermont ,2014,492,
Virginia,2014,51,
Washington ,2014,704,
West Virginia ,2014,10,
Wisconsin,2014,1435,
Wyoming ,2014,57,
Alabama ,2015,14,
Alaska,2015,9,
Arizona ,2015,58,
Arkansas,2015,56,
California ,2015,2500,
Colorado,2015,208,
Connecticut,2015,48,
Delaware,2015,1,
Florida ,2015,185,
Georgia ,2015,59,
Hawaii,2015,100,
Idaho,2015,183,
Illinois,2015,218,
Indiana ,2015,397,
Iowa ,2015,840,
Kansas,2015,99,
Kentucky,2015,132,
Louisiana,2015,13,
Maine,2015,531,
Maryland,2015,78,
Massachusetts ,2015,133,
Michigan,2015,483,
Minnesota,2015,659,
Mississippi,2015,21,
Missouri,2015,308,
Montana ,2015,194,
Nebraska,2015,178,
Nevada,2015,31,
New Hampshire ,2015,139,
New Jersey ,2015,72,
New Mexico ,2015,103,
New York,2015,845,
North Carolina,2015,180,
North Dakota,2015,131,
Ohio ,2015,608,
Oklahoma,2015,47,
Oregon,2015,456,
Pennsylvania,2015,836,
Rhode Island,2015,19,
South Carolina,2015,47,
South Dakota,2015,99,
Tennessee,2015,18,
Texas,2015,420,
Utah ,2015,41,
Vermont ,2015,493,
Virginia,2015,77,
Washington ,2015,726,
West Virginia ,2015,9,
Wisconsin,2015,1684,
Wyoming ,2015,65,
