state,year,farm_number,farm_number_cv,farm_ha,farm_ha_cv,sales,sales_cv
Alabama ,2016,18,3.3,815,13.6,1915000,8.8
Alaska,2016,8,0.9,NA,NA,NA,NA
Arizona ,2016,38,4.5,13429,15.3,117790000,9.9
Arkansas,2016,64,3.3,1971,13.6,39768000,8.8
California ,2016,2713,1,433012,9,2889156000,5.8
Colorado,2016,181,1.9,71428,4.6,181297000,8.6
Connecticut,2016,57,1.4,684,1.2,6943000,4.6
Delaware,2016,2,1.4,NA,NA,NA,NA
Florida ,2016,123,3.3,4727,13.6,72351000,8.8
Georgia ,2016,83,3.3,2164,13.6,48233000,8.8
Hawaii,2016,113,4.5,2899,15.3,13408000,9.9
Idaho,2016,166,0.9,72267,24.2,98005000,3
Illinois,2016,205,1.4,15845,1.9,52106000,9.4
Indiana ,2016,420,1.4,17491,1.9,99124000,9.4
Iowa ,2016,732,1.5,41739,4.6,131188000,5.1
Kansas,2016,86,1.6,21938,4.4,50020000,19.1
Kentucky,2016,100,1.2,4150,4.3,12181000,5.4
Louisiana,2016,21,3.3,2196,13.6,11120000,8.8
Maine,2016,494,1.4,22387,1.2,65648000,4.6
Maryland,2016,111,1.4,5039,1.2,17679000,4.6
Massachusetts ,2016,127,1.4,2931,1.2,26125000,4.6
Michigan,2016,402,1.4,30835,1.9,201067000,9.4
Minnesota,2016,545,1.3,52890,3.6,106479000,4
Mississippi,2016,29,3.3,9476,13.6,16381000,8.8
Missouri,2016,302,1.4,16624,1.9,101298000,9.4
Montana ,2016,156,1.9,107670,4.6,53187000,8.6
Nebraska,2016,162,1.6,43453,4.4,95971000,19.1
Nevada,2016,34,1.9,4939,4.6,29091000,8.6
New Hampshire ,2016,107,1.4,3180,1.2,9050000,4.6
New Jersey ,2016,53,1.4,616,1.2,8831000,4.6
New Mexico ,2016,75,1.9,38100,4.6,44979000,8.6
New York,2016,1059,1.4,106997,2.4,215859000,6.4
North Carolina,2016,247,1.2,12870,4.3,144917000,5.4
North Dakota,2016,114,1.6,47069,4.4,22741000,19.1
Ohio ,2016,575,2.2,NA,NA,101242000,4.3
Oklahoma,2016,34,3.2,7288,5.9,4608000,10.4
Oregon,2016,461,0.9,78824,24.2,350896000,3
Pennsylvania,2016,803,2.3,37807,5,659629000,14.7
Rhode Island,2016,25,1.4,55,1.2,2275000,4.6
South Carolina,2016,44,3.3,1280,13.6,11553000,8.8
South Dakota,2016,86,1.6,46856,4.4,17320000,19.1
Tennessee,2016,38,1.2,1352,4.3,5614000,5.4
Texas,2016,217,3.2,59411,5.9,297484000,10.4
Utah ,2016,51,1.9,39628,4.6,26118000,8.6
Vermont ,2016,556,1.7,54366,3.5,127054000,3.1
Virginia,2016,165,1.2,10056,4.3,55914000,5.4
Washington ,2016,677,1.2,31866,4.5,636245000,6
West Virginia ,2016,14,1.2,956,4.3,2025000,5.4
Wisconsin,2016,1276,1.5,88738,2.6,255450000,2.4
Wyoming ,2016,48,1.9,48512,4.6,15062000,8.6
