state,year,farm_number,farm_number_cv,farm_ha,farm_ha_cv,sales,sales_cv
Alabama,2019,11,8.7,0,36.2,NA,NA
Alaska,2019,8,3.8,NA,NA,NA,NA
Arizona,2019,62,5.7,10804,21.4,202506000,25.4
Arkansas,2019,67,8.7,8502,36.2,55331000,14.7
California,2019,3012,2.1,390626,19.6,3596923000,12
Colorado,2019,238,2.1,67785,10.2,184119000,25.9
Connecticut,2019,63,4.9,728,9.2,6152000,11.7
Delaware,2019,12,4.9,215,9.2,13564000,11.7
Florida,2019,126,8.7,7249,36.2,86458000,14.7
Georgia,2019,102,8.7,2881,36.2,52212000,14.7
Hawaii,2019,129,5.7,1129,21.4,17283000,25.4
Idaho,2019,240,3.8,73140,61.9,205968000,31.9
Illinois,2019,258,1.6,24560,6.2,72702000,18.6
Indiana,2019,595,1.6,NA,NA,180951000,18.6
Iowa,2019,779,2.4,54103,6.9,144596000,9.9
Kansas,2019,110,8.2,34665,19.3,69048000,29.5
Kentucky,2019,185,4.6,7891,11.8,38459000,11.5
Louisiana,2019,10,8.7,1352,36.2,14333000,14.7
Maine,2019,456,4.9,22363,9.2,63820000,11.7
Maryland,2019,121,4.9,6959,9.2,50080000,11.7
Massachusetts,2019,133,4.9,3306,9.2,32895000,11.7
Michigan,2019,541,1.6,49474,6.2,230955000,18.6
Minnesota,2019,635,2.7,69998,6.1,113606000,6
Mississippi,2019,29,8.7,3596,36.2,29527000,14.7
Missouri,2019,355,1.6,20708,6.2,113880000,18.6
Montana,2019,208,2.1,143956,10.2,65467000,25.9
Nebraska,2019,238,8.2,93820,19.3,184634000,29.5
Nevada,2019,40,2.1,39606,10.2,66803000,25.9
New Hampshire,2019,80,4.9,4738,9.2,11274000,11.7
New Jersey,2019,68,4.9,1593,9.2,26246000,11.7
New Mexico,2019,101,2.1,15801,10.2,70772000,25.9
New York,2019,1321,3,130746,7.1,298420000,9.6
North Carolina,2019,347,4.6,17296,11.8,369768000,11.5
North Dakota,2019,117,8.2,45933,19.3,26598000,29.5
Ohio,2019,785,3,45293,5.9,116999000,13.2
Oklahoma,2019,34,7.8,6500,18.8,10152000,34.7
Oregon,2019,456,3.8,79337,61.9,454406000,31.9
Pennsylvania,2019,1048,2.2,43524,6.2,741764000,14.6
Rhode Island,2019,20,4.9,60,9.2,2179000,11.7
South Carolina,2019,39,8.7,1945,36.2,21680000,14.7
South Dakota,2019,68,8.2,29604,19.3,14420000,29.5
Tennessee,2019,38,4.6,2022,11.8,9031000,11.5
Texas,2019,233,7.8,99677,18.8,424303000,34.7
Utah,2019,49,2.1,38280,10.2,26903000,25.9
Vermont,2019,655,4.7,82152,15.6,159742000,21.1
Virginia,2019,163,4.6,11472,11.8,62791000,11.5
Washington,2019,745,3.4,45297,12.5,885970000,24.4
West Virginia,2019,27,4.6,1236,11.8,13354000,11.5
Wisconsin,2019,1364,3.1,101552,3.5,268921000,11.4
Wyoming,2019,64,2.1,52636,10.2,15639000,25.9
