"Program","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","       2008  -  <b>VALUE</b>","       2008  -  <b>CV (%)</b>","       2011  -  <b>VALUE</b>","       2011  -  <b>CV (%)</b>","       2014  -  <b>VALUE</b>","       2014  -  <b>CV (%)</b>","       2019  -  <b>VALUE</b>","       2019  -  <b>CV (%)</b>"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED, ORGANIC - ACRES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT)","1,596,865","","","","","","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED, ORGANIC - ACRES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","","","1,505,757","","","","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED, ORGANIC - NUMBER OF OPERATIONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT)","12,742","","","","","","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED, ORGANIC - NUMBER OF OPERATIONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","","","8,215","","","","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND, ORGANIC - ACRES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT)","2,229,558","","","","","","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND, ORGANIC - ACRES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","","","2,027,212","","","","3,517,051","3.7"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND, ORGANIC - NUMBER OF OPERATIONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT)","13,625","","","","","","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND, ORGANIC - NUMBER OF OPERATIONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","","","8,719","","","","15,548","1.5"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, ORGANIC - ACRES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT)","4,077,337","","","","3,670,560","6","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, ORGANIC - ACRES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","","","3,648,896","","3,642,933","6","5,495,274","14.5"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, ORGANIC - ACRES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA EXEMPT)","","","","","27,627","9.5","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, ORGANIC - NUMBER OF OPERATIONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT)","14,307","","","","14,048","1.3","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, ORGANIC - NUMBER OF OPERATIONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","","","8,978","","12,595","1.6","16,476","1.3"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, ORGANIC - NUMBER OF OPERATIONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA EXEMPT)","","","","","1,453","4.7","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND, (EXCL RANGE), ORGANIC, TRANSITIONING - ACRES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT)","","","","","8,344","45","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND, (EXCL RANGE), ORGANIC, TRANSITIONING - ACRES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","","","","","7,890","46.5","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND, (EXCL RANGE), ORGANIC, TRANSITIONING - ACRES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA EXEMPT)","","","","","455","61.7","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND, (EXCL RANGE), ORGANIC, TRANSITIONING - ACRES","ORGANIC STATUS","ORGANIC STATUS: (TRANSITIONING)","","","","","17,030","","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND, (EXCL RANGE), ORGANIC, TRANSITIONING - NUMBER OF OPERATIONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT)","","","","","196","10.1","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND, ORGANIC - ACRES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT)","1,847,779","","","","","","",""
