Commodity Desc,Unit Desc,Domain Desc,Domaincat Desc,Short Desc,Long Desc,Agg Level Desc,State Name,Year,Published Estimate,State Ansi
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ALABAMA,2011,(D),1
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ALABAMA,2014,"1,300",1
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ALABAMA,2015,"1,385",1
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ALABAMA,2016,"2,014",1
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ALABAMA,2019,"2,172",1
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ALASKA,2011,(D),2
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ALASKA,2014,282,2
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ALASKA,2015,"695,186",2
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ALASKA,2016,(D),2
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ALASKA,2019,(D),2
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ARIZONA,2011,"14,775",4
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ARIZONA,2014,"17,810",4
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ARIZONA,2015,"23,066",4
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ARIZONA,2016,"33,183",4
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ARIZONA,2019,"26,698",4
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ARKANSAS,2011,"2,833",5
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ARKANSAS,2014,300,5
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ARKANSAS,2015,"2,015",5
