state,year,farm_number,farm_ha,sales
Alabama,2011,4,NA,NA
Alaska,2011,4,NA,597000
Arizona,2011,29,5979,77093000
Arkansas,2011,10,1146,NA
California,2011,"1,898",236033,1388847000
Colorado,2011,119,31456,70213000
Connecticut,2011,35,120,1156000
Delaware,2011,4,128,537000
Florida,2011,93,5894,98608000
Georgia,2011,41,661,12565000
Hawaii,2011,103,1093,7475000
Idaho,2011,142,52803,53249000
Illinois,2011,137,11640,27870000
Indiana,2011,159,6234,30390000
Iowa,2011,467,33037,60703000
Kansas,2011,64,22824,NA
Kentucky,2011,44,1420,3519000
Louisiana,2011,15,826,2783000
Maine,2011,231,10450,24402000
Maryland,2011,72,3318,9014000
Massachusetts,2011,81,1036,10758000
Michigan,2011,223,25803,99206000
Minnesota,2011,440,50443,69181000
Mississippi,2011,13,,NA
Missouri,2011,98,8995,40004000
Montana,2011,99,81972,29318000
Nebraska,2011,128,56004,NA
Nevada,2011,28,2692,2035000
New Hampshire,2011,80,2013,16827000
New Jersey,2011,44,665,6375000
New Mexico,2011,67,59995,22186000
New York,2011,597,67102,106774000
North Carolina,2011,96,4890,24142000
North Dakota,2011,112,49561,21297000
Ohio,2011,336,22046,56310000
Oklahoma,2011,33,5838,1338000
Oregon,2011,353,53734,233452000
Pennsylvania,2011,446,24788,123152000
Rhode Island,2011,17,39,307000
South Carolina,2011,13,315,NA
South Dakota,2011,77,40505,11400000
Tennessee,2011,17,625,NA
Texas,2011,133,32788,165499000
Utah,2011,36,31476,11225000
Vermont,2011,425,33144,65768000
Virginia,2011,66,5100,21357000
Washington,2011,493,29092,297104000
West Virginia,2011,5,91,135000
Wisconsin,2011,870,70435,132457000
Wyoming,2011,43,289601,17955000
